ID;TTW;FeedMode;T_SP;Total Rich;Total Lean;O2 rich;CO rich;CO2 rich;NO rich;NO2 rich;NH3 rich;N2O rich;H2 rich;SO2 rich;C2H4 rich;C3H6 rich;C3H8 rich;CH4 rich;H2O rich;O2 lean;CO lean;CO2 lean;NO lean;NO2 lean;NH3 lean;N2O lean;H2 lean;SO2 lean;C2H4 lean;C3H6 lean;C3H8 lean;CH4 lean;H2O lean
52;200;3;374.92;141.286;0;0;0.882852417;16.26392287;0.252681364;0;0;0;0;0;0;0.112957266;0;0;14.44561;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;200;3;373.02;144.073;0;0.2;0.917017308;16.28132997;0.258056361;0;0;0;0;0;0;0.110883171;0;0;14.47566;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;200;3;370.8;144.1409;0;0.655495306;0.930213224;16.27628466;0.261569741;0;0;0;0;0;0;0.108382748;0;0;14.47864;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;200;3;368.89;142.4144;0;1.850318206;0.899736911;16.26459139;0.263910343;0;0;0;0;0;0;0.105767421;0;0;14.45466;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;200;3;367.3;138.3986;0;1.532945504;0.835045685;16.25653188;0.265928024;0;0;0;0;0;0;0.103387477;0;0;14.41594;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;200;3;366.03;131.906;0;0;0.785030307;16.25105664;0.267790679;0;0;0;0;0;0;0.101508395;0;0;14.38649;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;200;3;365.4;129.086;0;0.575775572;0.774251763;16.24482604;0.269014712;0;0;0;0;0;0;0.100246346;0;0;14.37643;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;200;3;364.76;124.7419;0;0.502372635;0.766144689;16.23808209;0.269428775;0;0;0;0;0;0;0.09942119;0;0;14.36735;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;200;3;364.13;123.2288;0;1.562717278;0.73199941;16.24143394;0.269658429;0;0;0;0;0;0;0.098824124;0;0;14.35239;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;200;3;363.49;119.7944;0;1.261073181;0.668504366;16.25692931;0.270323934;0;0;0;0;0;0;0.098378871;0;0;14.3313;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;200;3;363.18;119.0056;0;0.894651519;0.599587218;16.28019202;0.271293353;0;0;0;0;0;0;0.098123343;0;0;14.31305;0;0;0;0;0;0;0;0;0;0;0;0;0;0
63;200;3;362.86;118.6795;0;0;0.572292911;16.30340909;0.272024202;0;0;0;0;0;0;0.098138017;0;0;14.31608;0;0;0;0;0;0;0;0;0;0;0;0;0;0
64;200;3;362.54;118.6721;0;0.247542709;0.580557411;16.31859447;0.271962178;0;0;0;0;0;0;0.09840498;0;0;14.33147;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;200;3;361.91;117.6265;0;0.955068673;0.589289969;16.32705381;0.271232647;0;0;0;0;0;0;0.098782913;0;0;14.34217;0;0;0;0;0;0;0;0;0;0;0;0;0;0
